Nama kabupaten/kota,2014,2015,2016,2017,2018,2019,2020,2021,2022
KABUPATEN BOGOR,3,6,4,10,10,12,30,53,12
KABUPATEN SUKABUMI,0,0,0,0,0,0,0,0,0
KABUPATEN CIANJUR,0,0,0,0,0,0,0,0,0
KABUPATEN BANDUNG,0,0,0,0,2,1,5,12,6
KABUPATEN GARUT,0,0,0,0,0,0,0,0,0
KABUPATEN TASIKMALAYA,0,0,0,0,0,0,0,0,0
KABUPATEN CIAMIS,0,0,0,0,0,0,0,0,0
KABUPATEN KUNINGAN,0,0,0,0,0,0,0,0,0
KABUPATEN CIREBON,0,0,0,0,3,2,0,0,1
KABUPATEN MAJALENGKA,0,0,0,0,1,0,0,0,0
KABUPATEN SUMEDANG,0,0,0,0,0,0,2,1,0
KABUPATEN INDRAMAYU,0,0,0,0,0,0,0,0,0
KABUPATEN SUBANG,0,0,0,0,0,1,0,0,0
KABUPATEN PURWAKARTA,1,2,2,2,3,10,5,0,1
KABUPATEN KARAWANG,1,14,11,15,18,17,19,35,15
KABUPATEN BEKASI,5,24,19,25,33,41,62,57,31
KABUPATEN BANDUNG BARAT,0,0,0,0,0,0,0,0,0
KABUPATEN PANGANDARAN,0,0,0,0,0,0,0,0,0
KOTA BOGOR,0,0,0,0,0,1,0,2,1
KOTA SUKABUMI,0,0,0,0,0,0,0,8,2
KOTA BANDUNG,0,0,0,0,0,11,13,24,2
KOTA CIREBON,0,0,0,0,0,0,2,4,2
KOTA BEKASI,0,0,0,0,0,2,5,24,11
KOTA DEPOK,0,0,0,0,0,0,0,0,0
KOTA CIMAHI,0,0,0,0,0,0,0,0,0
KOTA TASIKMALAYA,0,0,0,0,0,0,0,0,0
KOTA BANJAR,0,0,0,0,0,0,0,0,0
